provider,sourceType,sourceCode,sourceDescription,canonicalConcept,conceptGroup,signalClass,severity,direction,requiresReview,canContributeToDecline,dedupeKey,narrativeKey,notes,status,displayLabel
middesk,mcc_code,5111,"Stationary, Office Supplies, Printing and Writing Paper (MCC)",business_classification_context,business,business,low,neutral,false,false,5111,,,active,"Stationary, Office Supplies, Printing and Writing Paper"
middesk,mcc_code,5122,Sound Recording Industries (MCC),business_classification_context,business,business,low,neutral,false,false,5122,,,active,Sound Recording Industries
middesk,mcc_code,5122,"Drugs, Drug Proprietaries, and Druggist Sundries (MCC)",business_classification_context,business,business,low,neutral,false,false,5122,,,active,"Drugs, Drug Proprietaries, and Druggist Sundries"
middesk,mcc_code,5131,"Newspaper, Periodical, Book, and Directory Publishers (MCC)",business_classification_context,business,business,low,neutral,false,false,5131,,,active,"Newspaper, Periodical, Book, and Directory Publishers"
middesk,mcc_code,5131,"Piece Goods, Notions, and Other Dry Goods (MCC)",business_classification_context,business,business,low,neutral,false,false,5131,,,active,"Piece Goods, Notions, and Other Dry Goods"
middesk,mcc_code,5137,"Uniforms, Commercial Clothing (MCC)",business_classification_context,business,business,low,neutral,false,false,5137,,,active,"Uniforms, Commercial Clothing"
middesk,mcc_code,5139,Commercial Footwear (MCC),business_classification_context,business,business,low,neutral,false,false,5139,,,active,Commercial Footwear
middesk,mcc_code,5169,Chemicals and Allied Products (Not Elsewhere Classified) (MCC),business_classification_context,business,business,low,neutral,false,false,5169,,,active,Chemicals and Allied Products (Not Elsewhere Classified)
middesk,mcc_code,5172,Petroleum and Petroleum Products (MCC),business_classification_context,business,business,low,neutral,false,false,5172,,,active,Petroleum and Petroleum Products
middesk,mcc_code,5192,"Web Search Portals, Libraries, Archives, and Other Information Services (MCC)",business_classification_context,business,business,low,neutral,false,false,5192,,,active,"Web Search Portals, Libraries, Archives, and Other Information Services"
middesk,mcc_code,5192,"Books, Periodicals, and Newspapers (MCC)",business_classification_context,business,business,low,neutral,false,false,5192,,,active,"Books, Periodicals, and Newspapers"
middesk,mcc_code,5193,"Florists Supplies, Nursery Stock, and Flowers (MCC)",business_classification_context,business,business,low,neutral,false,false,5193,,,active,"Florists Supplies, Nursery Stock, and Flowers"
middesk,mcc_code,5198,"Paints, Varnishes, and Supplies (MCC)",business_classification_context,business,business,low,neutral,false,false,5198,,,active,"Paints, Varnishes, and Supplies"
middesk,mcc_code,5199,Nondurable Goods (Not Elsewhere Classified) (MCC),business_classification_context,business,business,low,neutral,false,false,5199,,,active,Nondurable Goods (Not Elsewhere Classified)
middesk,mcc_code,5200,Home Supply Warehouse Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5200,,,active,Home Supply Warehouse Stores
middesk,mcc_code,5211,Monetary Authorities-Central Bank (MCC),business_classification_context,business,business,low,neutral,false,false,5211,,,active,Monetary Authorities-Central Bank
middesk,mcc_code,5211,"Lumber, Building Materials Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5211,,,active,"Lumber, Building Materials Stores"
middesk,mcc_code,5231,Securities and Commodity Contracts Intermediation and Brokerage (MCC),business_financial_services,compliance,business,high,negative,true,true,5231,,,active,Securities and Commodity Contracts Intermediation and Brokerage
middesk,mcc_code,5231,"Glass, Paint, and Wallpaper Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5231,,,active,"Glass, Paint, and Wallpaper Stores"
middesk,mcc_code,5251,Insurance and Employee Benefit Funds (MCC),business_classification_context,business,business,low,neutral,false,false,5251,,,active,Insurance and Employee Benefit Funds
middesk,mcc_code,5251,Hardware Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5251,,,active,Hardware Stores
middesk,mcc_code,5261,"Nurseries, Lawn and Garden Supply Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5261,,,active,"Nurseries, Lawn and Garden Supply Stores"
middesk,mcc_code,5262,Marketplaces (MCC),business_classification_context,business,business,low,neutral,false,false,5262,,,active,Marketplaces
middesk,mcc_code,5271,Mobile Home Dealers (MCC),business_classification_context,business,business,low,neutral,false,false,5271,,,active,Mobile Home Dealers
middesk,mcc_code,5300,Wholesale Clubs (MCC),business_classification_context,business,business,low,neutral,false,false,5300,,,active,Wholesale Clubs
middesk,mcc_code,5309,Duty Free Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5309,,,active,Duty Free Stores
middesk,mcc_code,5310,Discount Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5310,,,active,Discount Stores
middesk,mcc_code,5311,Lessors of Real Estate (MCC),business_classification_context,business,business,low,neutral,false,false,5311,,,active,Lessors of Real Estate
middesk,mcc_code,5311,Department Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5311,,,active,Department Stores
middesk,mcc_code,5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) (MCC),business_classification_context,business,business,low,neutral,false,false,5331,,,active,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
middesk,mcc_code,5331,Variety Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5331,,,active,Variety Stores
middesk,mcc_code,5399,Miscellaneous General Merchandise (MCC),business_classification_context,business,business,low,neutral,false,false,5399,,,active,Miscellaneous General Merchandise
middesk,mcc_code,5411,Legal Services (MCC),business_classification_context,business,business,low,neutral,false,false,5411,,,active,Legal Services
middesk,mcc_code,5411,"Grocery Stores, Supermarkets (MCC)",business_classification_context,business,business,low,neutral,false,false,5411,,,active,"Grocery Stores, Supermarkets"
middesk,mcc_code,5422,Freezer and Locker Meat Provisioners (MCC),business_classification_context,business,business,low,neutral,false,false,5422,,,active,Freezer and Locker Meat Provisioners
middesk,mcc_code,5441,"Candy, Nut, and Confectionery Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5441,,,active,"Candy, Nut, and Confectionery Stores"
middesk,mcc_code,5451,Dairy Products Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5451,,,active,Dairy Products Stores
middesk,mcc_code,5462,Bakeries (MCC),business_classification_context,business,business,low,neutral,false,false,5462,,,active,Bakeries
middesk,mcc_code,5499,Miscellaneous Food Stores - Convenience Stores and Specialty Markets (MCC),business_classification_context,business,business,low,neutral,false,false,5499,,,active,Miscellaneous Food Stores - Convenience Stores and Specialty Markets
middesk,mcc_code,5511,"Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing (MCC)",business_classification_context,business,business,low,neutral,false,false,5511,,,active,"Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing"
