reason_code_id,code,description,service_name,service_internal_name,service_id,middesk_bucket
12608,5532,Automotive Tire Stores (MCC),Middesk,Middesk,641,mcc
12607,5533,Automotive Parts and Accessories Stores (MCC),Middesk,Middesk,641,mcc
12823,5541,Service Stations (MCC),Middesk,Middesk,641,mcc
12605,5542,Automated Fuel Dispensers (MCC),Middesk,Middesk,641,mcc
12616,5551,Boat Dealers (MCC),Middesk,Middesk,641,mcc
12696,5552,Electric Vehicle Charging (MCC),Middesk,Middesk,641,mcc
12782,5561,"Motorcycle Shops, Dealers (MCC)",Middesk,Middesk,641,mcc
12781,5571,Motorcycle Shops and Dealers (MCC),Middesk,Middesk,641,mcc
12779,5592,Motor Homes Dealers (MCC),Middesk,Middesk,641,mcc
12828,5598,Snowmobile Dealers (MCC),Middesk,Middesk,641,mcc
12766,5599,Miscellaneous Auto Dealers (MCC),Middesk,Middesk,641,mcc
11606,5611,Office Administrative Services (MCC),Middesk,Middesk,641,mcc
12762,5611,Mens and Boys Clothing and Accessories Stores (MCC),Middesk,Middesk,641,mcc
11614,5621,Waste Collection (MCC),Middesk,Middesk,641,mcc
12878,5621,Womens Ready-To-Wear Stores (MCC),Middesk,Middesk,641,mcc
12877,5631,Womens Accessory and Specialty Shops (MCC),Middesk,Middesk,641,mcc
12637,5641,Childrens and Infants Wear Stores (MCC),Middesk,Middesk,641,mcc
12706,5651,Family Clothing Stores (MCC),Middesk,Middesk,641,mcc
12834,5655,Sports and Riding Apparel Stores (MCC),Middesk,Middesk,641,mcc
12826,5661,Shoe Stores (MCC),Middesk,Middesk,641,mcc
12719,5681,Furriers and Fur Shops (MCC),Middesk,Middesk,641,mcc
12763,5691,"Mens, Womens Clothing Stores (MCC)",Middesk,Middesk,641,mcc
12840,5697,"Tailors, Alterations (MCC)",Middesk,Middesk,641,mcc
12875,5698,Wig and Toupee Stores (MCC),Middesk,Middesk,641,mcc
12765,5699,Miscellaneous Apparel and Accessory Shops (MCC),Middesk,Middesk,641,mcc
12718,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances (MCC)",Middesk,Middesk,641,mcc
12711,5713,Floor Covering Stores (MCC),Middesk,Middesk,641,mcc
12686,5714,"Drapery, Window Covering, and Upholstery Stores (MCC)",Middesk,Middesk,641,mcc
12710,5718,"Fireplace, Fireplace Screens, and Accessories Stores (MCC)",Middesk,Middesk,641,mcc
12771,5719,Miscellaneous Home Furnishing Specialty Stores (MCC),Middesk,Middesk,641,mcc
12740,5722,Household Appliance Stores (MCC),Middesk,Middesk,641,mcc
12700,5732,Electronics Stores (MCC),Middesk,Middesk,641,mcc
12783,5733,"Music Stores-Musical Instruments, Pianos, and Sheet Music (MCC)",Middesk,Middesk,641,mcc
12652,5734,Computer Software Stores (MCC),Middesk,Middesk,641,mcc
12816,5735,Record Stores (MCC),Middesk,Middesk,641,mcc
12633,5811,Caterers (MCC),Middesk,Middesk,641,mcc
12693,5812,"Eating Places, Restaurants (MCC)",Middesk,Middesk,641,mcc
12687,5813,Drinking Places (MCC),Middesk,Middesk,641,mcc
12707,5814,Fast Food Restaurants (MCC),Middesk,Middesk,641,mcc
12671,5815,"Digital Goods Media – Books, Movies, Music (MCC)",Middesk,Middesk,641,mcc
12673,5816,Digital Goods – Games (MCC),Middesk,Middesk,641,mcc
12672,5817,Digital Goods – Applications (Excludes Games) (MCC),Middesk,Middesk,641,mcc
12674,5818,Digital Goods – Large Digital Goods Merchant (MCC),Middesk,Middesk,641,mcc
12688,5912,Drug Stores and Pharmacies (MCC),Middesk,Middesk,641,mcc
12795,5921,"Package Stores-Beer, Wine, and Liquor (MCC)",Middesk,Middesk,641,mcc
12864,5931,Used Merchandise and Secondhand Stores (MCC),Middesk,Middesk,641,mcc
12595,5932,Antique Shops (MCC),Middesk,Middesk,641,mcc
12799,5933,Pawn Shops (MCC),Middesk,Middesk,641,mcc
12879,5935,Wrecking and Salvage Yards (MCC),Middesk,Middesk,641,mcc
12594,5937,Antique Reproductions (MCC),Middesk,Middesk,641,mcc
12614,5940,Bicycle Shops (MCC),Middesk,Middesk,641,mcc
12831,5941,Sporting Goods Stores (MCC),Middesk,Middesk,641,mcc
12618,5942,Book Stores (MCC),Middesk,Middesk,641,mcc
12837,5943,"Stationery Stores, Office, and School Supply Stores (MCC)",Middesk,Middesk,641,mcc
12746,5944,"Jewelry Stores, Watches, Clocks, and Silverware Stores (MCC)",Middesk,Middesk,641,mcc
12736,5945,"Hobby, Toy, and Game Shops (MCC)",Middesk,Middesk,641,mcc
12625,5946,Camera and Photographic Supply Stores (MCC),Middesk,Middesk,641,mcc
12721,5947,"Gift, Card, Novelty, and Souvenir Shops (MCC)",Middesk,Middesk,641,mcc
